^((?![zZ][0-9]+)(?![pP][0-9]+)).*([vV][0-9]+).*$
SUQADD,(scalar) Signed saturating accumulate of unsigned value page 8-99
UCVTF,(scalar; fixed-point) Unsigned fixed-point convert to floating-point page 8-100
UCVTF,(scalar; integer) Unsigned integer convert to floating-point page 8-101
UQADD,(scalar) Unsigned saturating add page 8-102
UQRSHL,(scalar) Unsigned saturating rounding shift left (register) page 8-103
UQRSHRN,(scalar) Unsigned saturating rounded shift right narrow (immediate)
UQSHL,(scalar; immediate) Unsigned saturating shift left (immediate) page 8-105
UQSHL,(scalar; register) Unsigned saturating shift left (register) page 8-106
UQSHRN,(scalar) Unsigned saturating shift right narrow (immediate) page 8-107
UQSUB,(scalar) Unsigned saturating subtract page 8-108
UQXTN,(scalar) Unsigned saturating extract narrow page 8-109
URSHL,(scalar) Unsigned rounding shift left (register) page 8-110
URSHR,(scalar) Unsigned rounding shift right (immediate) page 8-111
URSRA,(scalar) Unsigned rounding shift right and accumulate (immediate) page 8-112
USHL,(scalar) Unsigned shift left (register) page 8-113
USHR,(scalar) Unsigned shift right (immediate) page 8-114
USQADD,(scalar) Unsigned saturating accumulate of signed value page 8-115
USRA,(scalar) Unsigned shift right and accumulate (immediate) page 8-116
